Issue id,Summary,Issue Type,Description,Labels,Parent
JD-E8,E8 — Supabase PostgreSQL & Alembic,Epic,"Replace the MVP 1 in-memory fake database with a production-grade Supabase PostgreSQL instance backed by pgvector. Implement asyncpg connection pooling, Alembic migrations managed by Supervisor, and the full expanded domain model set.

SCOPE:
- Replace in-memory dict store with Supabase PostgreSQL + pgvector
- asyncpg connection pool: pool_size=10, max_overflow=20, pool_timeout=30, pool_pre_ping=True
- Alembic migrations directory; runs via Supervisor priority 1 before uvicorn starts
- Full domain models: Job, Recruiter, Application, CV, CoverLetter, ScrapeRun, InterviewPrep

MILESTONE: MVP 2 — AI Ranking, Persistence & Cloud Infrastructure","backend,database,supabase,postgresql,python,mvp2",
JD-8-1,Replace Fake DB with Supabase PostgreSQL,Story,"Remove the in-memory jobs_store from main.py and wire all data access through an asyncpg connection pool connected to Supabase PostgreSQL with pgvector extension.

IMPLEMENTATION DETAILS:
- Create backend/db.py:
  - create_pool() -> asyncpg.Pool using DATABASE_URL from settings
  - pool config: min_size=2, max_size=10, max_inactive_connection_lifetime=300
  - pool_pre_ping: SELECT 1 on connection checkout
  - get_db() dependency: yields pool connection; closes on request teardown
- Remove jobs_store dict and helper functions from main.py
- Update all routers (jobs.py, scrape.py) to use get_db() dependency injection
- Enable pgvector extension: CREATE EXTENSION IF NOT EXISTS vector in migration
- Add DATABASE_URL to .env.example and settings.py (required field, no default)
- Remove # MVP 1 EXCEPTION comment blocks; replace with asyncpg calls

EFFORT: L (8 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-2-2, JD-5-1, JD-3-5

TESTING CRITERIA:
- Application starts and connects to Supabase PostgreSQL without errors
- GET /api/v1/jobs returns results from database, not in-memory dict
- Connection pool closes cleanly on SIGTERM
- DATABASE_URL missing at startup raises clear ValidationError
- pgvector extension enabled: SELECT * FROM pg_extension WHERE extname = 'vector' returns row

EDGE CASES:
- Connection pool exhaustion under load: pool_timeout=30 raises asyncpg.TooManyConnectionsError; catch and return 503
- Supabase connection string format differs from standard PostgreSQL; document in .env.example
- SSL required for Supabase connections; append ?sslmode=require to DATABASE_URL","backend,database,supabase,asyncpg,python,mvp2",JD-E8
JD-8-2,asyncpg Connection Pool Configuration,Story,"Harden the asyncpg connection pool with correct sizing, overflow handling, and health check configuration.

IMPLEMENTATION DETAILS:
- Update backend/db.py pool configuration:
  - min_size=2 (keep warm connections ready)
  - max_size=10 (pool_size equivalent)
  - max_overflow=20 (connections beyond max_size allowed temporarily)
  - pool_timeout=30 (seconds to wait for available connection)
  - pool_pre_ping=True (validate connection before use via SELECT 1)
  - max_inactive_connection_lifetime=300 (recycle idle connections every 5 minutes)
- Add pool metrics logging on startup: log min_size, max_size, database host (not password)
- Expose GET /api/v1/admin/db-status endpoint (admin only): returns pool size, idle connections, active connections
- Document pool sizing rationale in docs/ARCHITECTURE.md

EFFORT: M (4 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-8-1

TESTING CRITERIA:
- Pool initialises with correct min_size connections on startup
- GET /api/v1/admin/db-status returns correct pool metrics
- Pool pre-ping detects stale connections and replaces them
- Startup log includes database host and pool size (no credentials)

EDGE CASES:
- max_overflow connections not returned to pool after use; document cleanup requirement
- Supabase free tier has connection limits; set max_size conservatively and document upgrade path","backend,database,asyncpg,python,mvp2",JD-E8
JD-8-3,Alembic Migrations,Story,"Initialise Alembic in backend/migrations/ and create the initial migration replacing the fake DB schema with full PostgreSQL tables.

IMPLEMENTATION DETAILS:
- Run: uv run alembic init backend/migrations
- Configure alembic.ini: sqlalchemy.url reads from DATABASE_URL env var
- env.py: use asyncpg-compatible async engine; import all models for autogenerate
- Initial migration (0001_initial_schema.py):
  - CREATE TABLE jobs (id UUID PRIMARY KEY, title TEXT NOT NULL, company TEXT NOT NULL, location TEXT, description TEXT, source VARCHAR(50), url TEXT UNIQUE, salary_min INT, salary_max INT, relevance_score FLOAT DEFAULT 0.0, embedding vector(1536), scraped_at TIMESTAMPTZ DEFAULT NOW())
  - CREATE TABLE scrape_runs (id UUID PRIMARY KEY, source_id VARCHAR(50), jobs_found INT, jobs_new INT, duration_seconds FLOAT, errors JSONB, started_at TIMESTAMPTZ DEFAULT NOW())
  - CREATE INDEX ON jobs USING ivfflat (embedding vector_cosine_ops)
- Supervisor config updated: migrate program runs alembic upgrade head before uvicorn starts

EFFORT: M (6 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-8-1, JD-1-3

TESTING CRITERIA:
- uv run alembic upgrade head runs without errors against Supabase
- All tables created with correct column types and constraints
- uv run alembic downgrade -1 reverses migration cleanly
- Supervisor starts alembic before uvicorn (priority 1 confirmed in supervisord.conf)
- ivfflat index created on embedding column

EDGE CASES:
- First-time migration on empty database must not fail if pgvector extension not yet enabled; add CREATE EXTENSION guard in migration
- alembic autogenerate may not detect vector column type; use literal SQL for vector columns","backend,database,alembic,migrations,python,mvp2",JD-E8
JD-8-4,Full Domain Models,Story,"Expand backend/models.py with the complete set of domain models required for MVP 2 and beyond.

IMPLEMENTATION DETAILS:
- Extend existing Job model: add embedding (Optional[list[float]], excluded from API responses via response_model_exclude)
- New models:
  - Recruiter: id (UUID), name (str), company (str), email (Optional[str]), linkedin_url (Optional[str]), quality_score (float, default 0.0), notes (Optional[str])
  - Application: id (UUID), job_id (UUID), status (Enum: applied/screening/interview/offer/rejected), applied_at (datetime), notes (Optional[str])
  - CV: id (UUID), filename (str), content_text (str), embedding (list[float]), uploaded_at (datetime)
  - CoverLetter: id (UUID), job_id (UUID), content (str), ats_keyword_match_score (float), generated_at (datetime)
  - ScrapeRun: id (UUID), source_id (str), jobs_found (int), jobs_new (int), duration_seconds (float), errors (list[str]), started_at (datetime)
  - InterviewPrep: id (UUID), job_id (UUID), questions (list[str]), answers (list[str]), generated_at (datetime)
- All models use ConfigDict(str_strip_whitespace=True, from_attributes=True)

EFFORT: M (5 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-8-3, JD-2-4

TESTING CRITERIA:
- All 7 models instantiate correctly with valid data
- Application.status rejects invalid enum values
- CoverLetter.ats_keyword_match_score validated to range 0.0–1.0
- Job.embedding excluded from GET /api/v1/jobs response payload
- uv run python -m mypy backend/models.py passes with zero errors

EDGE CASES:
- embedding field is large (1536 floats); never return it in list endpoints, only in ranking internals
- ScrapeRun replaces ScrapeResult for database persistence; maintain ScrapeResult as API response schema","backend,models,database,python,mvp2",JD-E8
JD-E9,E9 — AI Ranking & RAG Agents,Epic,"Implement the AI-powered job ranking pipeline, retrieval-augmented generation agent, cover letter agent, and question-answer agent. Wire Ragas evaluation into CI with retrieval precision and context recall thresholds.

SCOPE:
- Ranking agent: 8-step pipeline from embeddings through seniority validation
- RAG agent: contextual retrieval across CV, applications, recruiter messages, saved jobs, preferences, skill graph
- Cover letter agent: ATS keyword match >= 60% enforced before delivery
- Question-answer agent: RAG-grounded Q&A on specific job listings
- Ragas eval in CI: retrieval precision and context recall; blocks deploy if precision < 0.80

MILESTONE: MVP 2 — AI Ranking, Persistence & Cloud Infrastructure","backend,ai,ranking,rag,python,mvp2",
JD-9-1,Ranking Agent,Story,"Implement backend/agents/ranking/ranking_agent.py with the 8-step job relevance ranking pipeline.

IMPLEMENTATION DETAILS:
- Class RankingAgent decorated with @register; source_id = 'ranking'
- async def rank_jobs(jobs: list[Job], cv: CV) -> list[Job] (returns jobs with updated relevance_score, sorted descending)
- 8-step pipeline:
  1. Embeddings: generate embeddings for each job description via OpenAI text-embedding-3-small; store in Job.embedding
  2. Cosine similarity: compare job embedding against CV.embedding; set base relevance_score
  3. Cross-encoder rerank: use cross-encoder model to refine top 20 candidates
  4. Sentiment analysis: penalise job descriptions with strongly negative sentiment (-0.1 to score)
  5. Recruiter quality: boost score by Recruiter.quality_score if recruiter record exists (+0.0 to +0.2)
  6. Salary normalisation: boost score if salary range overlaps CV preferred range (+0.0 to +0.1)
  7. Skill extraction: extract required skills from description; compare against CV skills; adjust score
  8. Seniority validation: check job seniority level matches CV experience level; penalise mismatches
- Create backend/agents/ranking/AGENT.md documenting pipeline steps and score contribution of each

EFFORT: XL (12 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-8-4, JD-3-2

TESTING CRITERIA:
- rank_jobs returns list sorted by relevance_score descending
- relevance_score clamped to 0.0–1.0 after all pipeline steps
- Job.embedding populated in database after step 1
- Recruiter quality boost only applied when Recruiter record exists for job
- uv run python -m mypy backend/agents/ranking/ passes

EDGE CASES:
- Embedding API failure: log error, skip embedding step, use keyword match score only
- Cross-encoder unavailable: skip rerank step and log warning; do not abort pipeline
- Jobs with no description: skip sentiment and skill extraction; assign base score from title only","backend,ai,ranking,embeddings,python,mvp2",JD-E9
JD-9-2,RAG Agent,Story,"Implement backend/agents/rag/rag_agent.py providing contextual retrieval across all user data sources.

IMPLEMENTATION DETAILS:
- Class RAGAgent decorated with @register; source_id = 'rag'
- Retrieval sources (all queried via pgvector cosine similarity):
  - CV content chunks
  - Past application notes
  - Recruiter messages
  - Saved jobs descriptions
  - User skill graph (structured JSON in users table)
  - User preferences (job type, location, salary range)
- async def retrieve(query: str, top_k: int = 5) -> list[RetrievalResult]
- RetrievalResult: { source: str; content: str; relevance: float; metadata: dict }
- Chunking strategy: split CV and long texts into 512-token chunks with 64-token overlap before embedding
- Query embedding: generate query embedding then SELECT ... ORDER BY embedding <=> query_embedding LIMIT top_k
- Create backend/agents/rag/AGENT.md documenting retrieval sources, chunking strategy, and query interface
- Prompts: reference prompts/rag-agent/ directory (stub files created in Epic 12)

EFFORT: XL (12 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-8-1, JD-8-4, JD-9-1

TESTING CRITERIA:
- retrieve() returns top_k results sorted by relevance descending
- Results include correct source label for each retrieval
- pgvector query executes without errors on populated database
- Chunking produces overlapping chunks of correct token size
- Empty database returns empty list without error

EDGE CASES:
- Query with no similar results (all cosine distances > 0.8): return empty list gracefully
- Very long CV: chunking must not lose content at chunk boundaries; overlap handles this
- pgvector ivfflat index requires at least 100 rows for efficient operation; document minimum data requirement","backend,ai,rag,retrieval,python,mvp2",JD-E9
JD-9-3,Cover Letter Agent,Story,"Implement backend/agents/cover-letter/cover_letter_agent.py generating ATS-optimised cover letters.

IMPLEMENTATION DETAILS:
- Class CoverLetterAgent decorated with @register; source_id = 'cover-letter'
- async def generate(job: Job, cv: CV) -> CoverLetter
- Pipeline:
  1. Extract ATS keywords from job description (title, required skills, company values)
  2. Retrieve relevant CV sections via RAGAgent.retrieve(query=job.title, top_k=3)
  3. Construct generation prompt using prompts/cover-letter-agent/system.md and tone.md
  4. Call LLM (claude-sonnet-4-20250514) to generate cover letter content
  5. Calculate ats_keyword_match_score: (matched keywords / total ATS keywords) as float
  6. Enforce threshold: if ats_keyword_match_score < 0.60, regenerate with explicit keyword injection instruction (max 2 retries)
  7. Return CoverLetter with content and ats_keyword_match_score
- POST /api/v1/cover-letter/{job_id} route added to backend/routers/jobs.py
- Create backend/agents/cover-letter/AGENT.md

EFFORT: L (10 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-9-2, JD-8-4, JD-3-2

TESTING CRITERIA:
- generate() returns CoverLetter with ats_keyword_match_score >= 0.60
- Regeneration triggered when first attempt scores below 0.60
- Maximum 2 retries enforced; if still below threshold return best attempt with warning flag
- POST /api/v1/cover-letter/{job_id} returns 200 with CoverLetter schema
- POST /api/v1/cover-letter/unknown-id returns 404

EDGE CASES:
- Job with very generic description yields few ATS keywords; ats_keyword_match_score calculation must handle denominator of 0 (return 1.0 if no keywords extracted)
- LLM may reproduce job description text verbatim; guardrails.md must prohibit this","backend,ai,cover-letter,llm,python,mvp2",JD-E9
JD-9-4,Question Answer Agent,Story,"Implement backend/agents/question-answer/question_answer_agent.py for RAG-grounded Q&A on specific job listings.

IMPLEMENTATION DETAILS:
- Class QuestionAnswerAgent decorated with @register; source_id = 'question-answer'
- async def answer(question: str, job_id: str) -> QAResponse
- QAResponse: { answer: str; sources: list[RetrievalResult]; confidence: float }
- Pipeline:
  1. Fetch Job by job_id from database
  2. Retrieve relevant context: RAGAgent.retrieve(query=question, top_k=5)
  3. Construct prompt with job details + retrieved context + user question
  4. Call LLM to generate grounded answer
  5. Parse confidence score from LLM response (0.0–1.0)
  6. Return QAResponse with answer, sources used, and confidence
- POST /api/v1/question-answer/{job_id} route added to backend/routers/jobs.py
- Request body: QuestionRequest { question: str }
- Create backend/agents/question-answer/AGENT.md

EFFORT: L (8 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-9-2, JD-8-4

TESTING CRITERIA:
- answer() returns QAResponse with non-empty answer string
- sources list contains RetrievalResult objects used in answer generation
- confidence score between 0.0 and 1.0
- POST /api/v1/question-answer/{job_id} returns 200 with QAResponse schema
- LLM answer references retrieved context; does not hallucinate job details not in source

EDGE CASES:
- No relevant context retrieved: answer should state insufficient information rather than hallucinate
- job_id not found: return 404 before calling LLM
- Very long questions: truncate to 500 characters before embedding; log truncation","backend,ai,question-answer,rag,python,mvp2",JD-E9
