Issue id,Summary,Issue Type,Description,Labels,Parent
JD-E10,E10 — Security & Orchestration Agents,Epic,"Implement the security agent for prompt injection detection and OWASP hardening, the Temporal workflow orchestrator with retry and DLQ logic, per-agent circuit breakers, and admin DLQ management routes.

SCOPE:
- Security agent: prompt injection detection, OWASP middleware, schema validation, RBAC enforcement, HTML sanitisation
- Workflow orchestrator: Temporal workflows with exponential backoff, jitter, DLQ, and SHA-256 idempotency
- Circuit breakers: per agent; opens after 3 consecutive failures; base 1s backoff, max 60s
- Admin DLQ routes: GET /api/v1/admin/dlq, retry and discard endpoints; replay_dlq.py admin script

MILESTONE: MVP 2 — AI Ranking, Persistence & Cloud Infrastructure","backend,security,orchestration,temporal,python,mvp2",
JD-10-1,Security Agent,Story,"Implement backend/agents/security/security_agent.py providing prompt injection detection, OWASP middleware, and RBAC enforcement.

IMPLEMENTATION DETAILS:
- Class SecurityAgent decorated with @register; source_id = 'security'
- FastAPI middleware (SecurityMiddleware):
  - Prompt injection detection: scan all incoming request bodies for known injection patterns (ignore/disregard/forget previous instructions, jailbreak variants); reject with 400 and log attempt
  - OWASP Top 10 checks: SQL injection pattern detection in query params; path traversal detection in URL params
  - HTML sanitisation: strip all HTML tags from text fields using bleach library before processing
  - Schema validation: enforce Content-Type: application/json on all POST/PUT requests
  - RBAC enforcement: validate JWT claims against route-level role requirements (stub for MVP 2; full JWT in Epic 14)
- async def scan(content: str) -> SecurityScanResult
- SecurityScanResult: { safe: bool; threats_detected: list[str]; sanitised_content: str }
- Register middleware in main.py: app.add_middleware(SecurityMiddleware)
- Create backend/agents/security/AGENT.md documenting threat patterns and response codes
- Add bleach to backend/pyproject.toml

EFFORT: L (10 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-2-1, JD-3-2

TESTING CRITERIA:
- Request containing 'ignore previous instructions' returns 400
- SQL injection pattern in query param returns 400
- HTML tags stripped from text fields before storage
- Non-JSON POST request returns 415 Unsupported Media Type
- SecurityScanResult.safe is False when threats detected
- uv run python -m mypy backend/agents/security/ passes

EDGE CASES:
- Injection detection must not false-positive on legitimate job descriptions containing words like 'ignore' in context; use phrase-level not word-level matching
- bleach sanitisation must preserve plain text job descriptions; only strip HTML markup
- Middleware must not add more than 5ms latency on average request path","backend,security,owasp,middleware,python,mvp2",JD-E10
JD-10-2,Workflow Orchestrator,Story,"Implement backend/agents/orchestrator/orchestrator_agent.py using Temporal for durable workflow orchestration with retry, jitter, and DLQ.

IMPLEMENTATION DETAILS:
- Class OrchestratorAgent decorated with @register; source_id = 'orchestrator'
- Temporal workflow: ScrapeAndRankWorkflow
  - Activities: scrape_activity (calls all scraper agents), rank_activity (calls RankingAgent), store_activity (persists to Supabase)
  - Retry policy: max_attempts=3; initial_interval=1s; backoff_coefficient=2.0; maximum_interval=60s; jitter applied per retry
  - Idempotency: SHA-256 hash of (source_id + keyword_set + date) used as workflow ID to prevent duplicate runs
  - DLQ: failed workflows after max_attempts moved to dead_letter_queue table in Supabase
- Temporal worker started in Supervisor as separate program (priority 10, alongside uvicorn)
- Add temporalio to backend/pyproject.toml
- Create backend/agents/orchestrator/AGENT.md documenting workflow steps, retry policy, and DLQ schema
- Update supervisord.conf: add [program:temporal-worker]

EFFORT: XL (14 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-9-1, JD-8-1, JD-3-5

TESTING CRITERIA:
- ScrapeAndRankWorkflow completes end-to-end without errors
- Retry triggered on activity failure; exponential backoff intervals correct
- Same keyword set on same date produces same workflow ID (idempotency test)
- Failed workflow after 3 attempts inserts row into dead_letter_queue table
- Temporal worker starts via Supervisor on container startup

EDGE CASES:
- Temporal server connection failure on startup: worker must retry connection with backoff, not crash container
- Workflow ID collision on legitimate re-run (different day): SHA-256 input includes ISO date string
- Temporal not available in local dev without Docker Compose service; document local dev workaround (run activities directly)","backend,orchestration,temporal,workflow,python,mvp2",JD-E10
JD-10-3,Circuit Breakers,Story,"Implement per-agent circuit breakers that open after 3 consecutive failures and recover with exponential backoff capped at 60s.

IMPLEMENTATION DETAILS:
- Create backend/circuit_breaker.py:
  - CircuitBreaker class: states CLOSED, OPEN, HALF_OPEN
  - failure_threshold=3: opens after 3 consecutive failures
  - recovery_timeout: starts at 1s base; doubles each open cycle; max 60s
  - async def call(func: Callable, *args, **kwargs) -> Any: executes func; tracks success/failure; raises CircuitOpenError if OPEN
  - CircuitOpenError: custom exception with source_id and retry_after_seconds
- Circuit breaker instances created per agent in registry.py; stored in _CIRCUIT_BREAKERS dict keyed by source_id
- Wrap agent run() calls in scrape.py with circuit breaker
- On CircuitOpenError: return ScrapeResult with error 'Circuit open for {source_id}; retry after {retry_after_seconds}s'
- Expose circuit breaker states via GET /api/v1/admin/circuit-breakers

EFFORT: M (6 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-3-2, JD-3-5

TESTING CRITERIA:
- Circuit opens after 3 consecutive agent failures
- CircuitOpenError raised immediately when circuit is OPEN (no agent call attempted)
- HALF_OPEN state: one probe request allowed; success closes circuit; failure reopens with doubled timeout
- GET /api/v1/admin/circuit-breakers returns state of all registered agent circuit breakers
- recovery_timeout never exceeds 60s regardless of failure count

EDGE CASES:
- Concurrent requests during HALF_OPEN: only one probe allowed; others receive CircuitOpenError
- Circuit state not persisted across container restarts; starts CLOSED on every boot (document limitation)","backend,resilience,circuit-breaker,python,mvp2",JD-E10
JD-10-4,Admin DLQ Routes and Replay Script,Story,"Implement admin REST routes for DLQ inspection and management, and wire up the replay_dlq.py admin script.

IMPLEMENTATION DETAILS:
- Create backend/routers/admin.py:
  - GET /api/v1/admin/dlq: list all rows in dead_letter_queue table with pagination
  - POST /api/v1/admin/dlq/{entry_id}/retry: re-enqueue workflow in Temporal; update status to retrying
  - DELETE /api/v1/admin/dlq/{entry_id}: discard DLQ entry; set status to discarded
- dead_letter_queue table schema (add to Alembic migration):
  - id (UUID), workflow_id (str), source_id (str), error_message (text), payload (JSONB), failed_at (timestamptz), status (enum: failed/retrying/discarded)
- Update backend/admin/replay_dlq.py (stub from JD-5-3):
  - CLI: uv run python backend/admin/replay_dlq.py --limit 10 --source linkedin
  - Fetches failed DLQ entries from database; re-enqueues each via Temporal client
  - Reports: replayed count, skipped count, errors
- Include admin router in main.py

EFFORT: M (6 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-10-2, JD-8-3, JD-5-3

TESTING CRITERIA:
- GET /api/v1/admin/dlq returns paginated list of DLQ entries
- POST /api/v1/admin/dlq/{id}/retry updates status to retrying and re-enqueues workflow
- DELETE /api/v1/admin/dlq/{id} sets status to discarded
- replay_dlq.py CLI processes --limit entries and reports correct counts
- DLQ table migration runs without errors

EDGE CASES:
- Retry of already-retrying entry: return 409 Conflict to prevent double retry
- Discarded entries excluded from GET /api/v1/admin/dlq by default; add ?include_discarded=true query param","backend,admin,dlq,python,mvp2",JD-E10
JD-E11,E11 — Terraform & Multi-Cloud Deployment,Epic,"Implement Terraform infrastructure-as-code for Azure Container Apps and AWS ECS Fargate. Add Terraform validate and plan steps to CI and Docker image signing on merge to main.

SCOPE:
- Azure Container Apps Terraform: infrastructure/terraform/azure/ with main.tf, variables.tf, outputs.tf
- AWS ECS Fargate Terraform: infrastructure/terraform/aws/ with multi-cloud portability via provider abstraction
- Terraform CI steps: validate and plan on every PR; apply on merge to main
- Docker image signing: tagged with Git commit SHA; pushed to registry on merge

MILESTONE: MVP 2 — AI Ranking, Persistence & Cloud Infrastructure","infrastructure,terraform,azure,aws,cicd,mvp2",
JD-11-1,Azure Container Apps Terraform,Story,"Create Terraform configuration for deploying the job-discovery platform to Azure Container Apps.

IMPLEMENTATION DETAILS:
- Directory: infrastructure/terraform/azure/
- main.tf:
  - provider azurerm with features {}
  - azurerm_resource_group: job-discovery-rg
  - azurerm_container_app_environment: with log analytics workspace
  - azurerm_container_app: job-discovery-app
    - image: pulled from Azure Container Registry
    - ingress: external=true, target_port=80
    - env vars from azurerm_key_vault_secret references (DATABASE_URL, ANTHROPIC_API_KEY)
    - min_replicas=1, max_replicas=5; scale rule on HTTP request count
  - azurerm_container_registry: for Docker image storage
  - azurerm_key_vault + secrets: DATABASE_URL, ANTHROPIC_API_KEY, OPENAI_API_KEY
- variables.tf: resource_group_location, acr_name, app_name, min_replicas, max_replicas, environment
- outputs.tf: app_url, acr_login_server, resource_group_name

EFFORT: L (10 hours)
PROJECT AREA: Infrastructure
DEPENDENCIES: JD-1-2

TESTING CRITERIA:
- terraform init completes without errors
- terraform validate passes with zero errors
- terraform plan produces expected resource creation plan
- outputs.tf values accessible after terraform apply
- Key Vault secrets referenced correctly (no plaintext secrets in Terraform state)

EDGE CASES:
- Azure Container Apps do not support Supervisor directly; confirm single-process entrypoint or use init container for migrations
- ACR admin credentials must not be stored in Terraform state; use managed identity
- Terraform state stored in Azure Storage backend (azurerm); configure in backend.tf","infrastructure,terraform,azure,container-apps,mvp2",JD-E11
JD-11-2,AWS ECS Fargate Terraform,Story,"Create Terraform configuration for deploying to AWS ECS Fargate as a multi-cloud portability option.

IMPLEMENTATION DETAILS:
- Directory: infrastructure/terraform/aws/
- main.tf:
  - provider aws with region variable
  - aws_ecs_cluster: job-discovery-cluster
  - aws_ecs_task_definition: job-discovery-task
    - container definition: image from ECR, port 80, environment from AWS Secrets Manager
    - cpu=512, memory=1024
  - aws_ecs_service: desired_count=1; launch_type=FARGATE
  - aws_lb + aws_lb_target_group + aws_lb_listener: ALB on port 80 routing to ECS service
  - aws_ecr_repository: job-discovery-ecr
  - aws_secretsmanager_secret: DATABASE_URL, ANTHROPIC_API_KEY
  - aws_vpc + subnets + security groups: minimal networking for ECS
- variables.tf: aws_region, ecr_name, cluster_name, task_cpu, task_memory, environment
- outputs.tf: alb_dns_name, ecr_repository_url, ecs_cluster_name
- Provider abstraction: shared variable names aligned with azure/variables.tf where possible

EFFORT: L (10 hours)
PROJECT AREA: Infrastructure
DEPENDENCIES: JD-1-2

TESTING CRITERIA:
- terraform init completes without errors for aws provider
- terraform validate passes with zero errors
- terraform plan produces expected ECS and ALB resource plan
- Variable names consistent with Azure module for shared tooling
- No hardcoded AWS account IDs or region strings in main.tf

EDGE CASES:
- ECS Fargate does not support privileged containers; ensure Dockerfile does not require root at runtime
- ALB health check path must match /health endpoint in FastAPI
- Fargate task role must have Secrets Manager read permission via IAM policy","infrastructure,terraform,aws,ecs,fargate,mvp2",JD-E11
JD-11-3,Terraform CI Steps,Story,"Add Terraform validate and plan steps to the GitHub Actions CI pipeline, and terraform apply on merge to main.

IMPLEMENTATION DETAILS:
- Add job terraform-ci to .github/workflows/ci.yml:
  - Trigger: on pull_request (validate + plan only); on push to main (validate + plan + apply)
  - Steps for Azure:
    - actions/checkout
    - hashicorp/setup-terraform@v3
    - terraform init (with backend config from secrets)
    - terraform validate
    - terraform plan -out=tfplan (save plan artefact)
    - terraform apply tfplan (main push only)
  - Steps for AWS: same structure under infrastructure/terraform/aws/
  - Secrets required: ARM_CLIENT_ID, ARM_CLIENT_SECRET, ARM_SUBSCRIPTION_ID, ARM_TENANT_ID, AWS_ACCESS_KEY_ID, AWS_SECRET_ACCESS_KEY
  - Plan output uploaded as GitHub Actions artefact for PR review
- Add ## Terraform CI section to docs/EXECUTION-RULES.md

EFFORT: M (6 hours)
PROJECT AREA: Infrastructure
DEPENDENCIES: JD-11-1, JD-11-2, JD-5-4

TESTING CRITERIA:
- terraform validate runs on every PR without requiring cloud credentials
- terraform plan output uploaded as artefact and visible in PR checks
- terraform apply runs only on push to main, not on PRs
- CI fails and blocks merge if terraform validate fails
- Secrets not exposed in plan output logs

EDGE CASES:
- Terraform state lock conflicts during concurrent CI runs; configure state locking in backend
- terraform plan diff shown in PR comment via GitHub Actions bot for reviewer convenience","infrastructure,terraform,cicd,github-actions,mvp2",JD-E11
JD-11-4,Docker Image Signing and Registry Push,Story,"Implement Docker image tagging with Git commit SHA and automated push to container registry on merge to main.

IMPLEMENTATION DETAILS:
- Update .github/workflows/ci.yml docker-build job:
  - On push to main only: build and push Docker image
  - Image tag: {registry}/{image_name}:{git_sha} where git_sha = github.sha[:8]
  - Also tag as latest on main push
  - Azure: push to ACR using docker/login-action with ACR credentials from secrets
  - AWS: push to ECR using aws-actions/amazon-ecr-login
  - Image signing: use cosign (sigstore/cosign-installer) to sign image after push
  - Cosign keyless signing: OIDC-based; no long-lived key required
  - After signing: verify signature with cosign verify before marking job complete
- Add DOCKER_IMAGE_TAG env var (set to git SHA) passed into terraform apply for container image reference

EFFORT: M (6 hours)
PROJECT AREA: Infrastructure
DEPENDENCIES: JD-11-3, JD-1-2

TESTING CRITERIA:
- Image tagged with correct 8-character git SHA on merge to main
- Image also tagged as latest
- cosign verify passes on signed image
- Image push only on main push, not on PRs
- DOCKER_IMAGE_TAG available to Terraform apply step

EDGE CASES:
- ACR and ECR push steps must be independent; failure to push to one registry must not block the other
- cosign keyless signing requires OIDC token from GitHub Actions; ensure id-token: write permission in job","infrastructure,docker,cicd,security,mvp2",JD-E11
