Issue id,Summary,Issue Type,Description,Labels,Parent
JD-E1,E1 — Project Scaffold & Docker Setup,Epic,"Set up the job-discovery monorepo root with Docker multi-stage build, Nginx reverse proxy, Supervisor process manager, and local docker-compose orchestration.

SCOPE:
- Monorepo initialisation with AGENT.md index, .env.example, .gitignore
- Multi-stage Dockerfile: node:22-alpine frontend build stage into python:3.14-slim runtime stage
- Nginx reverse proxy: / → static export, /api/v1/* → FastAPI, /health passthrough
- Supervisor config: migrate (priority 1) → nginx (10) → fastapi (10)
- docker-compose.yml for local development with healthcheck

MILESTONE: MVP 1 — Scraper Foundation & In-Memory Store","scaffold,docker,infrastructure,mvp1",
JD-1-1,Monorepo Initialisation,Story,"Create the job-discovery/ root directory and foundational files for the monorepo.

IMPLEMENTATION DETAILS:
- Create job-discovery/ root directory
- Create root AGENT.md as index file listing all sub-agent files and their responsibilities
- Create .env.example with all required environment variable keys (no values)
- Create .gitignore covering Python (__pycache__, .venv, *.pyc), Node (node_modules, .next, out/), Docker, and secrets (.env)

EFFORT: S (2 hours)
PROJECT AREA: Infrastructure
DEPENDENCIES: None

TESTING CRITERIA:
- Directory structure matches proposal-v4-structure.md
- AGENT.md index references all downstream AGENT.md files
- .env.example contains all keys required by settings.py
- .gitignore prevents secrets and build artefacts from being committed

EDGE CASES:
- Ensure .env is listed in .gitignore before any secrets are added","scaffold,monorepo,infrastructure,mvp1",JD-E1
JD-1-2,Multi-Stage Dockerfile,Story,"Create the production Dockerfile using a multi-stage build strategy.

IMPLEMENTATION DETAILS:
- Stage 1 (builder): node:22-alpine; install pnpm; copy frontend/; run pnpm install and pnpm build (output: export)
- Stage 2 (runtime): python:3.14-slim; install uv; copy backend/ and built frontend static files from stage 1
- Install nginx and supervisor in runtime stage
- Copy nginx.conf and supervisord.conf into runtime image
- Expose port 80
- ENTRYPOINT: supervisord

EFFORT: M (4 hours)
PROJECT AREA: Infrastructure
DEPENDENCIES: JD-1-1

TESTING CRITERIA:
- docker build -t job-discovery . completes without errors
- docker run serves frontend on port 80
- /api/v1/ routes proxied to FastAPI correctly
- /health endpoint returns 200

EDGE CASES:
- Layer caching: copy pyproject.toml before source to cache pip install layer
- Ensure node_modules not copied into runtime stage","docker,infrastructure,mvp1",JD-E1
JD-1-3,Supervisor Config,Story,"Create supervisord.conf to manage process startup order inside the container.

IMPLEMENTATION DETAILS:
- [program:migrate]: runs Alembic or DB init script; priority=1; startsecs=0; autorestart=false
- [program:nginx]: priority=10; autorestart=true
- [program:fastapi]: uvicorn backend.main:app --host 0.0.0.0 --port 8000; priority=10; autorestart=true
- stdout and stderr logs routed to /dev/stdout and /dev/stderr for Docker log capture
- [supervisord] nodaemon=true

EFFORT: S (2 hours)
PROJECT AREA: Infrastructure
DEPENDENCIES: JD-1-2

TESTING CRITERIA:
- supervisord starts all three programs in correct priority order
- FastAPI available on port 8000 internally
- Nginx available on port 80
- Logs visible via docker logs

EDGE CASES:
- migrate program must complete before fastapi starts; use depends_on or priority gap","docker,infrastructure,supervisor,mvp1",JD-E1
JD-1-4,Nginx Reverse Proxy Config,Story,"Create nginx.conf to route traffic between the static frontend and FastAPI backend.

IMPLEMENTATION DETAILS:
- server block listening on port 80
- location /: root pointing to Next.js static export directory; try_files with index.html fallback for SPA routing
- location /api/v1/: proxy_pass to http://127.0.0.1:8000; set proxy headers (Host, X-Real-IP, X-Forwarded-For)
- location /health: proxy_pass to FastAPI /health; no caching
- gzip compression enabled for JS, CSS, JSON
- Cache-Control headers for static assets

EFFORT: S (2 hours)
PROJECT AREA: Infrastructure
DEPENDENCIES: JD-1-2

TESTING CRITERIA:
- / serves Next.js index.html
- /api/v1/jobs returns JSON from FastAPI
- /health returns 200
- SPA deep links (e.g. /jobs/123) resolve to index.html

EDGE CASES:
- Trailing slash normalisation for API routes
- CORS headers not duplicated between Nginx and FastAPI","infrastructure,nginx,mvp1",JD-E1
JD-1-5,Docker Compose for Local Development,Story,"Create docker-compose.yml for local development orchestration.

IMPLEMENTATION DETAILS:
- Single service: job-discovery; build: .; ports: 8080:80
- env_file: .env
- volumes: mount backend/ and frontend/ for hot-reload during development (optional override)
- healthcheck: GET http://localhost/health every 30s; retries: 3
- restart: unless-stopped

EFFORT: S (2 hours)
PROJECT AREA: Infrastructure
DEPENDENCIES: JD-1-2

TESTING CRITERIA:
- docker compose up builds and starts successfully
- Application accessible at http://localhost:8080
- healthcheck passes within 90s of start
- docker compose down stops all services cleanly

EDGE CASES:
- Port conflicts on 8080; document alternative port override via .env
- Volume mounts may conflict with Docker-internal build artefacts","docker,infrastructure,local-dev,mvp1",JD-E1
JD-E2,E2 — Backend Core (FastAPI),Epic,"Implement the FastAPI application foundation including typed settings, structured JSON logging, domain models, keyword filtering, and an in-memory fake database for MVP 1.

SCOPE:
- FastAPI entrypoint with /api/v1/ prefix and agent auto-discovery
- Pydantic Settings for all environment variables
- Structured JSON logger shared across all modules
- Domain models: Job and ScrapeResult
- Keyword filter for title/description matching
- In-memory dict-backed fake DB (MVP 1 only; replaced by Supabase in MVP 2)

MILESTONE: MVP 1 — Scraper Foundation & In-Memory Store","backend,fastapi,python,mvp1",
JD-2-1,FastAPI Entrypoint,Story,"Create backend/main.py as the FastAPI application entrypoint.

IMPLEMENTATION DETAILS:
- Instantiate FastAPI app with title, version, and /api/v1 prefix on all routers
- Import and include routers: scrape.py and jobs.py
- Agent auto-discovery: import all agents from agents/registry.py on startup
- Lifespan context manager for startup/shutdown events
- In-memory fake DB: module-level dict jobs_store: dict[str, Job] = {}
- Add comment: # MVP 1 EXCEPTION: replace with Supabase asyncpg pool in Epic 8
- /health endpoint returning {"status": "ok", "version": app.version}

EFFORT: M (3 hours)
