Issue id,Summary,Issue Type,Description,Labels,Parent,Status
JD-E12,MVP 2 Prompts for AI Agents,Epic,"Create all prompt files for MVP 2 AI agents under prompts/: ranking, RAG, cover letter, question-answer, security, orchestrator, and quality_critic. Each agent directory must contain CONTRACT.md, CHANGELOG.md, system.md, skills.md, tools.md, guardrails.md, and agent-specific prompt files. Standards and versioning rules governed by prompts/AGENT.md (created in MVP 1.1 — JD-39).

SCOPE: MVP 2
PROJECT AREA: Prompt Engineering
FILES: prompts/ranking-agent/, prompts/rag-agent/, prompts/cover-letter-agent/, prompts/question-answer-agent/, prompts/security-agent/, prompts/orchestrator/
STORIES: 12.1 - 12.5","prompts,ai,agents",,
JD-57,Ranking agent prompts,Task,"Create prompts/ranking-agent/ with CONTRACT.md, CHANGELOG.md, system.md, scoring.md, reranking.md, and filtering.md.

IMPLEMENTATION DETAILS:
- CONTRACT.md: model=claude-sonnet-4-6, model_string=claude-sonnet-4-6, reasoning_effort=medium, max_tokens=8000, temperature=0, permitted_tools=[embed_text, cosine_similarity, cross_encode], expected_token_budget=~3500 tokens per invocation, eval_set_reference=evals/ranking/eval-set-v1.json, backward_compatibility=v1.x.x compatible with v1.0.0 eval set
- CHANGELOG.md: initial entry v1.0.0 with date and description
- system.md: XML prompt with <role>, <context>, <instructions> (8 numbered steps matching ranking_agent.py pipeline), <constraints> (temperature=0, no hallucinated skill extraction), <output_format> (structured JSON: {similarity_score, required_skills, seniority_valid, salary_normalised}), <example> with one worked ranking example
- scoring.md: embedding model selection rationale (BAAI/bge-large-en-v1.5 vs all-mpnet-base-v2), cosine similarity threshold table (>= 0.75 insert, 0.60–0.74 borderline, < 0.60 reject), scoring weight table per pipeline step
- reranking.md: cross-encoder model (cross-encoder/ms-marco-MiniLM-L-6-v2), confidence threshold, rerank strategy (score blending formula), fallback when cross-encoder unavailable
- filtering.md: post-ranking filter rules (similarity_score >= 0.75 AND seniority_valid=true), override conditions, exclusion rules for junior/graduate/intern titles

EFFORT: M (4 hours)
PROJECT AREA: Prompt Engineering
DEPENDENCIES: JD-39 (prompts/AGENT.md versioning rules), JD-44 (ranking_agent.py — thresholds must match)

TESTING CRITERIA:
- All 6 files present with ranking-specific content (not generic placeholders)
- CONTRACT.md reasoning_effort=medium documented
- Scoring thresholds in scoring.md match ranking_agent.py constants exactly
- system.md XML prompt parses without errors (validate XML structure)

EDGE CASES:
- Any prompt update must increment semver version in CONTRACT.md and add CHANGELOG.md entry before merging","prompts,ranking,ai",JD-E12,
JD-58,RAG agent prompts,Task,"Create prompts/rag-agent/ with CONTRACT.md, CHANGELOG.md, system.md, retrieval.md, embeddings.md, and personalization.md.

IMPLEMENTATION DETAILS:
- CONTRACT.md: model=claude-sonnet-4-6, reasoning_effort=high, max_tokens=16000, temperature=0, permitted_tools=[retrieve_cv_chunks, retrieve_application_history, retrieve_recruiter_messages, retrieve_saved_jobs], expected_token_budget=~6000 tokens per invocation (including 8000-token retrieval context), eval_set_reference=evals/rag/eval-set-v1.json
- CHANGELOG.md: initial entry v1.0.0
- system.md: XML prompt with <role> contextual retrieval assistant, <context> retrieval source priority order, <instructions> assembly rules, <constraints> (never fabricate context, always cite source, truncate by priority if over budget), <output_format> (personalised_context: str, sources_used: list[str], tokens_used: int)
- retrieval.md: retrieval strategy details, chunk size=512 tokens, overlap=50 tokens, top-k=5 per source, priority truncation order (CV > applications > recruiter messages > saved jobs), context window budget enforcement
- embeddings.md: embedding model=BAAI/bge-large-en-v1.5, dimension=1536, similarity metric=cosine (<-> pgvector operator), batch embedding strategy for CV chunks
- personalization.md: context assembly rules, CV priority weighting, application history recency weighting, how skill graph is built from application and saved job history

EFFORT: M (4 hours)
PROJECT AREA: Prompt Engineering
DEPENDENCIES: JD-39 (prompts/AGENT.md), JD-45 (rag_agent.py — strategy must match)

TESTING CRITERIA:
- All 6 files present
- CONTRACT.md reasoning_effort=high and max_tokens=16000 documented
- Retrieval strategy in retrieval.md consistent with rag_agent.py (chunk size, overlap, top-k values must match)
- Context window overflow handling documented in retrieval.md with truncation priority matching rag_agent.py

EDGE CASES:
- Context window overflow scenario documented with example token counts to illustrate truncation behaviour","prompts,rag,ai",JD-E12,
JD-59,Cover letter agent prompts,Task,"Create prompts/cover-letter-agent/ with CONTRACT.md, CHANGELOG.md, system.md, tone.md, generation.md, and templates.md.

IMPLEMENTATION DETAILS:
- CONTRACT.md: model=claude-sonnet-4-6, reasoning_effort=medium, max_tokens=4000, temperature=0, permitted_tools=[retrieve_cv_chunks, retrieve_job_structured], expected_token_budget=~2500 tokens per invocation, eval_set_reference=evals/cover-letter/eval-set-v1.json
- CHANGELOG.md: initial entry v1.0.0
- system.md: XML prompt with 6-section playbook as explicit <instructions> steps: <role_summary>, <matching_skills>, <quantified_achievements>, <ai_narrative>, <ats_keywords>, <recruiter_closing>; <constraints>: ATS keyword match >= 60% enforced, 300–500 words, temperature=0
- tone.md: tone adaptation rules per job type (startup: conversational and direct, enterprise: formal and structured, agency/consultancy: results-focused and brief); formality level table; constraint: tone adaptation must never alter factual claims or quantified achievements
- generation.md: ATS keyword injection rules, keyword extraction method (from job_structured.required_skills), word count enforcement, section ordering, retry instruction template for < 60% match case
- templates.md: three named templates (technical-specialist, consulting-lead, ai-engineering) with placeholder syntax {{role}}, {{company}}, {{top_skill_1}} etc.; document which template is selected per job_structured.job_type value

EFFORT: M (4 hours)
PROJECT AREA: Prompt Engineering
DEPENDENCIES: JD-39 (prompts/AGENT.md), JD-46 (cover_letter_agent.py — thresholds and template selection must match)

TESTING CRITERIA:
- All 6 files present
- Placeholder syntax in templates.md consistent across all three templates
- ATS rules in generation.md reference the same >= 60% threshold as cover_letter_agent.py
- tone.md explicitly states the constraint that factual claims must not change with tone

EDGE CASES:
- Template selection logic must handle job_structured.job_type=null — document fallback to technical-specialist template","prompts,cover-letter,ai",JD-E12,
JD-60,Question answer & security agent prompts,Task,"Create prompts/question-answer-agent/ and prompts/security-agent/ with all required prompt files.

IMPLEMENTATION DETAILS:
- prompts/question-answer-agent/: CONTRACT.md (reasoning_effort=xhigh, max_tokens=8000, temperature=0, permitted_tools=[retrieve_cv_chunks, retrieve_job_description, retrieve_recruiter_profile] — no open-ended tool access), CHANGELOG.md, system.md (XML prompt with <role> grounded Q&A assistant, <constraints> explicit: NEVER answer from outside retrieved context; if answer not found return I-do-not-have-enough-information response with confidence=0.0, <output_format> {answer: str, sources: list[str], confidence: float}), skills.md (grounded Q&A capabilities, context assembly from multiple RAG sources, confidence scoring methodology), tools.md (each permitted tool documented: name, input schema, output schema, when to invoke), guardrails.md (no hallucination enforcement, context-only answering rule, I-do-not-have-enough-information fallback, confidence threshold for answer delivery)
- prompts/security-agent/: CONTRACT.md (reasoning_effort=high, max_tokens=4000, temperature=0, permitted_tools=none — security agent does not call external tools), CHANGELOG.md, system.md (XML prompt with <patterns> block listing injection pattern strings as XML elements — covers: ignore previous instructions, disregard system prompt, you are now, act as, forget your instructions, DAN, jailbreak, role-play override; <constraints> security agent system prompt must never interpolate raw user input — use parameterised slots only; <output_format> {safe: bool, violation_type: str | null, sanitised_input: str}), skills.md (injection pattern detection, input sanitisation, OWASP validation), tools.md (no external tools — security agent is a validation-only agent), guardrails.md (never interpolate raw user input, parameterised prompt slots only, instruction hierarchy enforcement, context isolation rules)
- Both: temperature=0 enforced in CONTRACT.md; initial CHANGELOG.md entry v1.0.0

EFFORT: M (5 hours)
PROJECT AREA: Prompt Engineering
DEPENDENCIES: JD-39 (prompts/AGENT.md), JD-47 (question_answer_agent.py), JD-49 (security_agent.py)

TESTING CRITERIA:
- Both agent prompt directories complete with all required files (CONTRACT.md, CHANGELOG.md, system.md, skills.md, tools.md, guardrails.md)
- Injection patterns in security system.md <patterns> block cover all common jailbreak categories listed above
- Q&A system.md has explicit no-hallucination constraint and I-do-not-have-enough-information fallback instruction
- Q&A guardrails.md documents context-only answering enforcement and confidence thresholds
- Security guardrails.md documents parameterised slot requirement and instruction hierarchy
- tools.md documents each permitted Q&A tool with input/output schema

EDGE CASES:
- Security agent prompt itself must be injection-resistant — verified by absence of raw user input interpolation in system.md (static prompt only; user input always passed as a separate user-role message)","prompts,qa,security,ai",JD-E12,
JD-61,Orchestrator prompts,Task,"Create prompts/orchestrator/ with CONTRACT.md, CHANGELOG.md, system.md, skills.md, tools.md, and guardrails.md at xhigh reasoning effort for long-horizon multi-step workflow coordination.

IMPLEMENTATION DETAILS:
- CONTRACT.md: model=claude-sonnet-4-6, reasoning_effort=xhigh, max_tokens=64000, temperature=0, permitted_tools=[start_workflow, retry_activity, route_to_dlq, checkpoint_state, invoke_critic, parse_envelope], expected_token_budget=~12000 tokens per orchestration run (document: xhigh reasoning significantly increases cost — budget accordingly), eval_set_reference=evals/orchestrator/eval-set-v1.json
- CHANGELOG.md: initial entry v1.0.0; note: breaking prompt changes must increment major version and re-run full eval set
- system.md: XML prompt with <role> workflow coordinator for ScrapeAndRankWorkflow, <instructions> activity sequencing rules (scrape → rank → personalise → notify, no skipping), retry rules (Critic Revision Protocol max 2 retries on needs_review, generic exponential backoff max 3 attempts), Token Budget Enforcement (circuit break > 2x alert threshold), Learner Feedback Loops (inject learner context to Doers), DLQ routing rules (route after 3 failures, log structured event), checkpoint strategy (Temporal native event history — no manual state persistence needed), <constraints>: never skip activities, always log state transitions, honour circuit breaker signals from agents, never exceed 24h workflow execution timeout, <output_format> {workflow_status: str, activities_completed: list[str], dlq_items: list[str], next_action: str}
- skills.md: workflow coordination capabilities, activity sequencing, retry strategy selection, DLQ routing decision logic, checkpoint/resume orchestration, Critic Revision Protocol handling, Token Budget Enforcement
- tools.md: permitted tools documented with input/output schemas: start_workflow (input: workflow_id, activities; output: workflow_handle), retry_activity (input: activity_id, retry_count; output: retry_result), route_to_dlq (input: workflow_id, error; output: dlq_entry), checkpoint_state (input: workflow_id, state; output: checkpoint_id), invoke_critic (input: content; output: critic_score), parse_envelope (input: result; output: status_check)
- guardrails.md: never skip activities in sequence, always log state transitions, honour circuit breaker signals, 24h max workflow timeout, context window discipline for activity result summarisation, enforce Critic Revision Protocol and Learner Feedback Loops

EFFORT: M (3 hours)
PROJECT AREA: Prompt Engineering
DEPENDENCIES: JD-39 (prompts/AGENT.md), JD-50 (orchestrator_agent.py Temporal workflow definition — system.md must match activity names exactly)

TESTING CRITERIA:
- All 6 files present: CONTRACT.md, CHANGELOG.md, system.md, skills.md, tools.md, guardrails.md
- CONTRACT.md reasoning_effort=xhigh and max_tokens=64000 documented with cost note
- system.md activity names match orchestrator_agent.py Temporal activity definitions exactly
- All orchestrator responsibilities covered: sequencing, retry, DLQ routing, checkpoint, circuit breaker signal handling
- tools.md documents all four permitted tools with input/output schemas
- guardrails.md documents activity sequencing enforcement and timeout constraints

EDGE CASES:
- xhigh reasoning cost note in CONTRACT.md must include estimated token budget per run so cost governance agent can alert if exceeded by > 20%","prompts,orchestrator,ai",JD-E12,
JD-E3,Extensible Scraper Registry,Epic,"Build the pluggable scraper registry with BaseScrapeAgent ABC, @register decorator, LinkedIn and JobServe agents, and registry-driven scrape router with in-process concurrency guard.

SCOPE: MVP 1
PROJECT AREA: Backend / Agents
STORIES: 3.1 - 3.5","backend,agents,scraping",,
JD-19,BaseScrapeAgent ABC,Task,"Create backend/agents/base.py defining the abstract base class all scraper agents must implement.

IMPLEMENTATION DETAILS:
- Define BaseScrapeAgent(ABC) with three abstract members:
  - @property source_id(self) -> str: unique stable lowercase identifier (e.g. 'linkedin')
  - @property display_name(self) -> str: human-readable label for dashboard and logging
  - async def run(self) -> AgentResultEnvelope: executes scrape; returns standard envelope (must import from backend.schemas.agent_envelope)
- Create backend/schemas/agent_envelope.py with Pydantic AgentResultEnvelope model (fields: agent_id, canonical_role, status, result, metadata)
- Add __init_subclass__ validation: assert source_id is lowercase and contains no spaces
- Import and use get_logger in base class for shared logging behaviour
- Do NOT import any specific agent — base has zero knowledge of implementations

EFFORT: S (1 hour)
PROJECT AREA: Backend
DEPENDENCIES: JD-15

TESTING CRITERIA:
- Instantiating BaseScrapeAgent directly raises TypeError
- Subclass missing any of the three members raises TypeError
- Valid subclass instantiates and run() returns AgentResultEnvelope
- source_id with uppercase letters raises AssertionError at class definition time

EDGE CASES:
- source_id must be URL-safe — enforce in __init_subclass__ not at runtime","backend,agents,architecture",JD-E3,
JD-20,Registry module,Task,"Create backend/agents/registry.py with @register decorator and agent discovery functions.

IMPLEMENTATION DETAILS:
- Define _REGISTRY: dict[str, Type[BaseScrapeAgent]] = {} at module level
- Define @register decorator: validates source_id is unique, stores class in _REGISTRY, returns class unchanged (decorator does not instantiate)
- Define get_all_agents() -> list[BaseScrapeAgent]: returns [cls() for cls in _REGISTRY.values()]
- Define get_agent(source_id: str) -> BaseScrapeAgent | None: returns cls() for matching key or None
- Log registration event per agent via get_logger on class definition
- Raise ValueError on duplicate source_id registration

EFFORT: S (2 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-19

TESTING CRITERIA:
- @register on a valid subclass adds it to _REGISTRY
- Duplicate source_id raises ValueError
- get_all_agents() returns one fresh instance per registered agent
- get_agent('unknown') returns None
- Registry is importable before any agent modules to avoid circular imports

EDGE CASES:
- Registry must be imported before agent modules — document this constraint in module docstring","backend,agents,registry",JD-E3,
JD-21,LinkedIn scraper agent,Task,"Create backend/agents/linkedin/linkedin_agent.py implementing BaseScrapeAgent for UK senior job scraping.

IMPLEMENTATION DETAILS:
- Apply @register decorator; source_id='linkedin'; display_name='LinkedIn'
- Also create backend/agents/linkedin/AGENT.md: scraping responsibilities, anti-bot strategy, search keywords, execution interval (every 3-5 hours), randomisation rules, retry handling, deduplication, data normalisation
- Use Playwright async API, Chromium headless
- Search URL: https://www.linkedin.com/jobs/search/?keywords={query}&location=United+Kingdom
- Randomise delays: asyncio.sleep(random.uniform(2, 5)) between page actions
- Anti-bot: randomise user-agent, randomise viewport (1280-1920 width), slow-type search terms character by character
- Extract per listing: title, company, location, url, description
- Call add_job() from fake_db; return AgentResultEnvelope(agent_id='linkedin', canonical_role='doer', status='success', result={'inserted': count}, metadata={'model_used': 'playwright', 'tokens_used': 0})
- Close browser in finally block; register SIGTERM handler to close browser

EFFORT: L (8 hours)
PROJECT AREA: Backend / Agents
DEPENDENCIES: JD-20, JD-18

TESTING CRITERIA:
- Agent registers with source_id='linkedin' on import into main.py
- Playwright Chromium launches without errors in Docker container
- Extracted jobs pass through keyword filter before insertion
- Duplicate URLs not re-inserted (add_job deduplication)
- SIGTERM closes browser cleanly without zombie processes

EDGE CASES:
- LinkedIn login wall: log warning, return 0 — never attempt authentication
- CAPTCHA detected: log and return 0 — never bypass
- Selector changes: wrap each extraction field in try/except with fallback to None","backend,agents,scraping,playwright",JD-E3,
