Issue id,Summary,Issue Type,Description,Labels,Parent
JD-E13,Observability Stack,Epic,"Integrate OpenTelemetry distributed tracing and metrics across all agents and FastAPI routers, create Grafana dashboards versioned in infrastructure/grafana/, configure Prometheus scraping and Loki log aggregation, integrate Sentry error tracking and Microsoft Clarity frontend session replay, and build the observability agent for AI-specific reliability monitoring. All metrics and alerting thresholds governed by docs/OBSERVABILITY.md.

SCOPE: MVP 3
PROJECT AREA: Observability
FILES: backend/agents/observability/, docs/OBSERVABILITY.md, infrastructure/grafana/, .github/workflows/ci.yml, frontend/components/ObservabilityPanel.tsx, backend/agents/observability/AGENT.md
STORIES: 13.1 - 13.8","observability,monitoring,opentelemetry",
JD-77,Create docs/OBSERVABILITY.md,Task,"Create docs/OBSERVABILITY.md as the single source of truth for all observability standards, tracked metrics, alerting thresholds, and Loki query examples for the platform.

IMPLEMENTATION DETAILS:
- Document all tracked metrics with name, type (counter/gauge/histogram), labels, and alert threshold:
  - jobs_scraped_total (counter, labels: source_id) — alert if delta = 0 for > 6 hours
  - ranking_duration_seconds (histogram, labels: agent_id) — alert if p95 > 30s
  - llm_tokens_used_total (counter, labels: agent_id, model) — alert if any agent exceeds CONTRACT.md budget by > 20%
  - schema_conformance_rate (gauge, labels: agent_id) — alert if < 99%
  - hallucination_rate (gauge, labels: agent_id) — alert if > 1%
  - retrieval_precision (gauge) — alert if < 0.80
  - reranker_confidence_p50 (gauge) — alert if < 0.70
  - agent_failure_total (counter, labels: agent_id, error_type)
  - api_request_duration_seconds (histogram, labels: endpoint, method) — p50 and p95
  - dlq_depth (gauge) — alert if > 10
- Document Loki query examples: filter by agent name, log level, source_id
- Document OpenTelemetry trace context propagation rules across Temporal activities
- Document alert routing: Grafana alert → Sentry (critical), structured log (warning)
- Reference this file from backend/agents/observability/AGENT.md and docs/ARCHITECTURE.md

EFFORT: S (2 hours)
PROJECT AREA: Observability / Documentation
DEPENDENCIES: None (create before implementing observability tooling so thresholds are agreed before code)

TESTING CRITERIA:
- All metrics listed with name, type, labels, and threshold
- Loki query examples valid syntax (tested against local Loki instance)
- Document reviewed and approved before JD-62 implementation begins

EDGE CASES:
- Metrics must not use high-cardinality labels (e.g. job_id, user_id) — document this constraint explicitly in the cardinality section","observability,documentation",JD-E13
JD-62,OpenTelemetry integration,Task,"Integrate OpenTelemetry distributed tracing and metrics across all FastAPI routers and agent run() methods as specified in docs/OBSERVABILITY.md.

IMPLEMENTATION DETAILS:
- Install: opentelemetry-sdk, opentelemetry-instrumentation-fastapi, opentelemetry-exporter-otlp-proto-grpc, opentelemetry-instrumentation-sqlalchemy
- Configure TracerProvider in backend/main.py startup: OTLP gRPC exporter pointed at OTEL_EXPORTER_OTLP_ENDPOINT from settings; resource attributes: service.name=job-discovery, service.version from settings
- Auto-instrument FastAPI: FastAPIInstrumentor.instrument_app(app) after app creation
- Auto-instrument SQLAlchemy: SQLAlchemyInstrumentor().instrument(engine=engine) after db.py engine creation
- Add manual spans in each agent.run() method: with tracer.start_as_current_span(f'{agent_id}.run') as span; set span attributes: agent_id, job_count, duration_ms, token_usage, source_id
- Configure MeterProvider: metrics exported via OTLP; define instruments matching docs/OBSERVABILITY.md metric list (Counter, Histogram, ObservableGauge)
- Propagate trace context through Temporal activities: inject TraceContext into Temporal workflow headers on workflow start; extract in activity workers
- Fallback: if OTEL_EXPORTER_OTLP_ENDPOINT is unset, configure ConsoleSpanExporter for local dev (log traces to stdout as JSON)

EFFORT: L (8 hours)
PROJECT AREA: Observability
DEPENDENCIES: JD-77 (docs/OBSERVABILITY.md must define metric names before instruments are created), JD-13 (FastAPI entrypoint), JD-50 (Temporal orchestrator for trace propagation)

TESTING CRITERIA:
- Traces visible in Jaeger UI (local dev) with correct span hierarchy: HTTP request → agent.run → activity spans
- FastAPI request spans created automatically with correct HTTP attributes (method, route, status_code)
- Agent spans nested under request span with agent_id and token_usage attributes
- All metrics from docs/OBSERVABILITY.md emitted and scrapeable by Prometheus at /metrics endpoint
- Trace context present in Temporal activity headers (verify via Temporal Web UI workflow event history)

EDGE CASES:
- OTEL_EXPORTER_OTLP_ENDPOINT absent: ConsoleSpanExporter activated automatically — log warning at startup
- Trace context must survive Temporal activity boundary — use Temporal workflow header injection/extraction pattern; document in docs/OBSERVABILITY.md
- opentelemetry-instrumentation-sqlalchemy must not double-instrument if engine is recreated on reconnect","observability,opentelemetry,tracing",JD-E13
JD-63,Grafana dashboards,Task,"Create five Grafana dashboards as versioned JSON files in infrastructure/grafana/, covering API latency, AI agent performance, RAG quality, ranking, and infrastructure health.

IMPLEMENTATION DETAILS:
- Dashboard 1 — API Latency: p50 and p95 per endpoint (api_request_duration_seconds histogram), error rate (5xx/total), top 5 slowest endpoints table
- Dashboard 2 — AI Agent Performance: llm_tokens_used_total per agent (stacked bar), LLM call duration histogram, retry rate per agent, circuit breaker open events counter
- Dashboard 3 — RAG Quality: retrieval_precision gauge, hallucination_rate gauge, alert annotation when hallucination_rate > 1%, context recall from Ragas CI results (static panel updated per deploy)
- Dashboard 4 — Ranking: reranker_confidence_p50 gauge, similarity_score distribution histogram, jobs_inserted_per_run time series, seniority rejection rate
- Dashboard 5 — Infrastructure: container CPU and memory usage (from cAdvisor or Azure Container Apps metrics), active DB connections, DLQ depth gauge (dlq_depth), Temporal worker health
- Export each dashboard as JSON: infrastructure/grafana/{dashboard-name}.json (committed to version control)
- Configure Prometheus as primary data source in all panels; Loki as secondary for log panels
- Set dashboard UIDs explicitly to avoid conflict with default Grafana dashboard IDs (use prefixed UUIDs: jd-001 through jd-005)
- Configure alert rules in Dashboard 3 and Dashboard 5 matching thresholds from docs/OBSERVABILITY.md

EFFORT: L (8 hours)
PROJECT AREA: Observability
DEPENDENCIES: JD-62 (OpenTelemetry metrics must be emitted before dashboards can be built), JD-77 (thresholds from docs/OBSERVABILITY.md)

TESTING CRITERIA:
- All 5 dashboard JSON files importable into Grafana 10+ without errors
- Metrics panels populated from Prometheus data source in staging environment
- Hallucination alert rule fires correctly when test metric exceeds 1% threshold
- Dashboard UIDs unique and non-conflicting with default Grafana dashboards
- JSON files committed and pass helm lint / infrastructure CI check

EDGE CASES:
- Dashboard JSON must use relative time ranges (not fixed timestamps) to remain valid across environments
- Avoid high-cardinality label usage in Prometheus queries within dashboards (no per-job_id panels)","observability,grafana,monitoring",JD-E13
JD-64,Prometheus & Loki,Task,"Configure Prometheus metrics scraping from FastAPI /metrics and Loki log aggregation from structured JSON stdout, with Promtail pipeline stages parsing agent-level log fields.

IMPLEMENTATION DETAILS:
- Prometheus: install prometheus-fastapi-instrumentator; expose /metrics endpoint on FastAPI app (call Instrumentator().instrument(app).expose(app) in main.py startup)
- prometheus.yml scrape config: scrape_interval=15s, job_name=job-discovery, static_configs target=localhost:8000/metrics
- Custom metrics registered via MeterProvider (JD-62) appear alongside auto-instrumented FastAPI metrics at /metrics
- Loki: configure Promtail to read container stdout via Docker log driver (log_driver: json-file in docker-compose.yml)
- Promtail pipeline_stages: json stage extracting fields: level, agent, message, source_id, timestamp; labels stage adding: container_name, source_id, log_level
- Loki labels kept low-cardinality: container_name, source_id, log_level only — no job_id or user_id labels
- Add Loki query examples to docs/OBSERVABILITY.md: {source_id="linkedin"} |= "error", {log_level="ERROR"} | json | agent="ranking"
- Deploy Prometheus and Loki as separate containers in docker-compose.yml for local dev; reference hosted solutions (Grafana Cloud / Azure Monitor) for production in infrastructure/AGENT.md

EFFORT: M (5 hours)
PROJECT AREA: Observability
DEPENDENCIES: JD-62 (OpenTelemetry instruments must emit metrics before Prometheus scrape is useful), JD-15 (structured JSON logger — Loki pipeline depends on consistent JSON field names)
