Issue id,Summary,Issue Type,Description,Labels,Parent,Status
JD-97,Create backend/models/DOMAIN-MODELS.md,Task,"Create backend/models/DOMAIN-MODELS.md to document domain model definitions explicitly as specified in proposal v1.5.0.

IMPLEMENTATION DETAILS:
- Detail fields for UserProfile (including target_roles, preferred_stack, seniority_level, target_salary_min, target_salary_max, preferred_location, notice_period, updated_at)
- Detail fields for CompanyResearch (including company_name_slug as unique lookup key)
- Detail fields for Job (including saved computed field populated by left join against SavedJob, company_name_slug for interview prep company research lookup, and optional recruiter_id foreign key linking to Recruiter for job-to-recruiter navigation)
- Detail fields for Recruiter (including linkedin_url and interaction_score)
- Detail fields for Application (including status enum: draft, applied, awaiting_response, interviewing, offered, rejected, withdrawn)
- Detail fields for CV (including embedding_status enum: pending, processing, ready, failed)
- Detail fields for CoverLetter (including ats_score, status enum, and mandatory user_id for RLS isolation)
- Detail fields for ScrapeRun (including jobs_inserted and errors)
- Detail fields for SavedJob (mapping UserProfile to Job)
- Detail fields for InteractionEvent (tracking user interactions with recruiters/jobs)
- Detail fields for interview_questions (with difficulty ratings)
- Detail fields for eval_metrics
- Detail fields for cv_embeddings
- Include all enum definitions (Application.status, CV.embedding_status, CoverLetter.status)
- Document unique constraints, foreign keys (UserProfile for RLS isolation, company_name_slug for CompanyResearch, recruiter_id for Job)
- Document computed fields (Job.saved)

EFFORT: M (3 hours)
PROJECT AREA: Documentation / Backend
DEPENDENCIES: None

TESTING CRITERIA:
- Document exists and includes all required schemas with expanded field lists
- All enum values explicitly listed
- Reference in root AGENT.md","documentation,models,database",JD-E8,
JD-E8,Supabase PostgreSQL & Alembic,Epic,"Replace in-memory fake_db with Supabase PostgreSQL + pgvector, configure asyncpg connection pool (backend/db.py), set up Alembic migrations (backend/migrations/), and define all MVP 2 domain models. Migration runs automatically at container startup via Supervisor priority=1 before uvicorn.

SCOPE: MVP 2
PROJECT AREA: Backend / Database
FILES: backend/db.py, backend/migrations/, backend/models/
STORIES: 8.1 - 8.4","backend,database,supabase,postgres",,
JD-40,Replace fake_db with Supabase,Task,"Migrate all data storage from the file-backed in-memory fake_db.json to Supabase PostgreSQL with pgvector extension.

IMPLEMENTATION DETAILS:
- Enable pgvector extension in Supabase project: CREATE EXTENSION IF NOT EXISTS vector
- Remove fake_db.json, fake_db dict, and all helper functions that reference it from main.py and any repository files
- Update all agent run() methods to insert via asyncpg session (get_db() dependency) instead of fake_db
- Update all repository classes in backend/repositories/ to query PostgreSQL instead of fake_db
- Enable Row-Level Security on all tables at table creation time (policies configured in MVP 3 Story 14.2 — stub permissive policies for MVP 2)
- Update .env.example with SUPABASE_URL, SUPABASE_ANON_KEY, SUPABASE_SERVICE_ROLE_KEY, DATABASE_URL (postgresql+asyncpg://...)
- Update backend/settings.py: confirm DATABASE_URL field accepts PostgresDsn and is no longer Optional — required from MVP 2 onwards
- Supervisor migrate program (priority=1) runs alembic upgrade head before uvicorn starts; DATABASE_URL absence check: log 'DATABASE_URL not set, skipping migration' and exit 0 (preserves MVP 1 local-only mode)

EFFORT: L (8 hours)
PROJECT AREA: Backend / Database
DEPENDENCIES: JD-18, JD-42 (Alembic migrations must exist before this runs)

TESTING CRITERIA:
- Jobs persisted and retrieved correctly across server restarts
- GET /api/v1/jobs queries PostgreSQL (no fake_db reference anywhere)
- pgvector extension installed and active (SELECT * FROM pg_extension WHERE extname = 'vector')
- No references to fake_db remain in codebase (grep check in CI)
- Supervisor migrate step exits 0 when DATABASE_URL is unset (MVP 1 compatibility preserved)

EDGE CASES:
- Migration from fake_db.json data is not required (dev data only — discard on switchover)
- Supabase connection limits: asyncpg pool tuned to stay within free-tier connection cap (pool_size=10, max_overflow=20)
- fake_db.json must be added to .gitignore if not already present","backend,database,supabase",JD-E8,
JD-41,asyncpg connection pool,Task,"Create backend/db.py with SQLAlchemy 2 async engine and explicitly tuned asyncpg connection pool as specified in backend/AGENT.md.

IMPLEMENTATION DETAILS:
- create_async_engine with: pool_size=10, max_overflow=20, pool_timeout=30, pool_recycle=1800, pool_pre_ping=True
- Connection URL: settings.database_url using asyncpg dialect (postgresql+asyncpg://)
- Export async_session_maker using async_sessionmaker(bind=engine, class_=AsyncSession, expire_on_commit=False)
- Add get_db() async generator for FastAPI dependency injection: yields AsyncSession, closes on exit
- Log pool creation event via get_logger('db') — structured JSON log, no print() calls
- Comment inline: pool_size=10 tuned to uvicorn --workers 2 (each worker owns its pool; total connections <= 20)
- pool_recycle=1800: prevents idle connection timeout from Supabase PgBouncer proxy
- pool_pre_ping=True: validates connections before use; silently reconnects stale ones

EFFORT: M (3 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-14 (settings.py must expose DATABASE_URL as PostgresDsn)

TESTING CRITERIA:
- Engine and session factory created without errors on application startup
- pool_pre_ping catches and silently replaces stale connections under test
- get_db() yields a working AsyncSession and closes it on normal exit and on exception
- No connection leaks detectable under concurrent requests (use asyncio stress test)

EDGE CASES:
- Supabase connection string must use postgresql+asyncpg:// scheme — document in .env.example
- pool_recycle=1800 must be less than Supabase PgBouncer idle timeout (default 600s on free tier — set pool_recycle=300 if on free tier)
- db.py must be importable in MVP 1 without DATABASE_URL set (defer engine creation to first import of get_db)","backend,database,asyncpg",JD-E8,
JD-43,Full domain models,Task,"Expand backend/models/ with all MVP 2 domain models using SQLAlchemy 2 mapped_column syntax and Pydantic v2 schemas in backend/schemas/.

IMPLEMENTATION DETAILS:
- Job: add embedding: Mapped[list[float] | None] using pgvector Vector(1536) type; add recruiter_id: Mapped[UUID | None] as FK to recruiter.id; add similarity_score: Mapped[float | None]; add job_structured: Mapped[dict | None] as JSONB (parsed job description fields)
- Recruiter: id (UUID PK), name (str), company (str), linkedin_url (str | None), email (str | None), quality_score (float, default=0.0), scraped_at (datetime), created_at (datetime)
- Application: id (UUID PK), job_id (UUID FK), user_id (UUID, default=settings.SINGLE_USER_ID), status (Enum: draft / applied / awaiting_response / interviewing / offered / rejected / withdrawn), applied_at (datetime | None), notes (str | None), created_at (datetime)
- CV: id (UUID PK), content (str), embedding (Vector(1536)), version (int, autoincrement), created_at (datetime)
- CoverLetter: id (UUID PK), job_id (UUID FK), content (str), ats_keyword_match (float), status (Enum: pending / generating / ready / failed), created_at (datetime)
- ScrapeRun: id (UUID PK), source_id (str), jobs_found (int), jobs_inserted (int), duration_seconds (float), run_at (datetime)
- InterviewPrep: id (UUID PK), job_id (UUID FK), questions (JSONB list[str]), system_design_topics (JSONB list[str]), salary_benchmark (str | None), company_research (JSONB | None), status (Enum: pending / generating / ready / failed), created_at (datetime)
- All models: UUID primary keys (default=uuid4), created_at (datetime, default=func.now()), Pydantic v2 model_config = ConfigDict(from_attributes=True)
- Create matching Pydantic v2 response schemas in backend/schemas/ for each model

EFFORT: M (5 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-16 (base Job model must exist before extending it)

TESTING CRITERIA:
- All models import without errors
- Pydantic v2 model_validate(orm_object) works for all models (from_attributes=True)
- Alembic autogenerate detects no schema drift after migration applied
- Application.status enum values match ApplicationBoard.tsx column order in frontend

EDGE CASES:
- Vector(1536) type requires pgvector SQLAlchemy extension: from pgvector.sqlalchemy import Vector
- Enum fields: define Python enum class + SQLAlchemy Enum(MyEnum, native_enum=False) to keep portability
- InterviewPrep.company_research JSONB shape: {status: 'ready' | 'skipped', website?, tech_stack?, ...} — document shape in backend/agents/interview_prep/AGENT.md","backend,models,database",JD-E8,
JD-E38,MVP 1 Administrative Scripts,Epic,"Implement the missing MVP 1 administrative scripts for database management as required by the Twelve-Factor XII compliance section.

SCOPE: MVP 1
PROJECT AREA: Backend / Admin
FILES: backend/admin/seed_keywords.py, backend/admin/clear_db.py
STORIES: 151.1 - 152.1","mvp1,backend,admin",,
JD-151,Create seed_keywords.py,Task,"Create backend/admin/seed_keywords.py to seed initial keywords into the database.

IMPLEMENTATION DETAILS:
- Create python script to insert initial keywords for MVP 1 scraping
- Implement safe upsert to prevent duplicate entries

EFFORT: S (1 hour)
PROJECT AREA: Backend
DEPENDENCIES: None

TESTING CRITERIA:
- Running script successfully inserts keywords
- Re-running script does not error","backend,admin",JD-E38,
JD-152,Create clear_db.py,Task,"Create backend/admin/clear_db.py as a dev-only script to wipe the database.

IMPLEMENTATION DETAILS:
- Create python script to truncate all application tables
- Include safety check to ensure it only runs if ENVIRONMENT=development

EFFORT: S (1 hour)
PROJECT AREA: Backend
DEPENDENCIES: None

TESTING CRITERIA:
- Running script in dev clears data
- Running script in prod raises error and exits","backend,admin,dev",JD-E38,
JD-E2,Backend Core,Epic,"Set up the FastAPI application entrypoint, Pydantic settings, structured JSON logging, domain models, keyword filtering, file-backed in-memory fake database, and layered repository/service architecture for MVP 1.

SCOPE: MVP 1
PROJECT AREA: Backend
STORIES: 2.1 - 2.7","backend,fastapi,python",,
JD-13,FastAPI entrypoint,Task,"Create backend/main.py as the FastAPI application entrypoint with agent auto-discovery and router mounting.

IMPLEMENTATION DETAILS:
- Instantiate FastAPI app with title='Job Discovery API', version, and description
- Include jobs router, scrape router, profile router, cv router under prefix /api/v1/
- Add /health endpoint returning {status: ok, version: x.x.x}
- Import all agent modules at module level for auto-registration via @register: linkedin_agent, jobserve_agent
- Import order: registry module first, then agent modules, then routers
- Add startup event: log 'app ready' message via get_logger('main')
- Configure CORS middleware: allow origins [http://localhost:3000, http://localhost], allow all methods and headers

EFFORT: S (2 hours)
PROJECT AREA: Backend
DEPENDENCIES: JD-1

TESTING CRITERIA:
- uvicorn starts without errors
- GET /health returns 200 with JSON body
- OpenAPI docs available at /docs
- Agent imports trigger @register decorators at startup
- CORS headers present on /api/v1/ responses for localhost origins

EDGE CASES:
- Import order matters — registry module must load before agent modules
- CORS origins must include both port 3000 (Next.js dev server) and port 80 (Nginx in Docker)","backend,fastapi",JD-E2,
